Datum: 05.04.2022 | Cisla: 28 29 16 27 3 2 13 11 12 9 
Datum: 05.04.2022 | Cisla: 23 21 7 9 14 20 10 6 12 17 
Datum: 05.04.2022 | Cisla: 17 13 28 25 6 23 3 2 8 20 
Datum: 05.04.2022 | Cisla: 15 18 3 21 8 12 22 25 5 10 
Datum: 05.04.2022 | Cisla: 22 5 24 19 11 6 27 17 4 13 
Datum: 05.04.2022 | Cisla: 3 1 23 13 27 26 19 11 5 17 
Datum: 05.04.2022 | Cisla: 24 19 5 12 25 22 15 16 11 20 
Datum: 05.04.2022 | Cisla: 14 19 18 21 29 5 10 25 2 12 
Datum: 05.04.2022 | Cisla: 27 8 12 17 18 10 6 24 2 28 
Datum: 05.04.2022 | Cisla: 27 24 19 28 11 25 29 21 5 9 
Datum: 05.04.2022 | Cisla: 17 6 4 13 11 5 1 3 21 15 
Datum: 05.04.2022 | Cisla: 24 15 17 2 19 1 18 26 3 14 
Datum: 05.04.2022 | Cisla: 11 18 24 26 7 27 2 16 5 4 
Datum: 05.04.2022 | Cisla: 20 23 18 29 4 16 13 12 15 27 
Datum: 05.04.2022 | Cisla: 29 23 27 4 24 8 19 18 22 26 
